Model,Owner,Role,Embedding Source,Official Threshold Type,Best Threshold,Accuracy Threshold,Train Samples,Validation Samples,Test Samples,Test Accuracy,Test F1,Test Precision,Test Recall,Test Log Loss,Training Time sec,Inference Time sec,Inference ms/sample,Model Size MB,Encoder Size MB,Parameter Count,Encoder Parameter Count,State Tensor Count,Memory RSS MB,Max Sequence Length,Vocabulary Size,Embedding Dim,LSTM Units,Batch Size,Epochs Run,GPU,Max Epochs,Early Stopping Patience,Actual Epochs Run,Source File,Validation Accuracy,Validation F1,Model Path,Benchmark Scope
BERT Cross-Encoder,Yuchan,Float BERT Cross-Encoder,bert-base-uncased,validation_f1_best_full_test,0.36000000000000015,0.36000000000000015,323432,40429,40429,0.9079126369685127,0.8804623535077861,0.8453665454097047,0.9185984188664076,0.21985501133026467,,100.17805070796749,39.1320510577998,417.72721099853516,,109483778,,109483778,,128,30522,768,,512,3,CPU only,,,,outputs/results/bert_crossencoder_quantized_results_full.csv,0.9088278216131984,0.8812958907638799,/Users/hansanghun/workspace/CSE36301_ML_final_total/CSE36301_ML_final/outputs/CSE36301_ML_final/CSE36301_ML_final/outputs/models/bert_crossencoder_float_full.pt,full_test
BERT Cross-Encoder Int8,Yuchan,Embedding tables and linear layers quantized to int8,bert-base-uncased,validation_f1_best_full_test,0.36000000000000015,0.36000000000000015,323432,40429,40429,0.8736055801528606,0.8498560263266146,0.7568557672179193,0.9689133056411631,0.2711769789154935,,216.42556200001854,84.54123515625724,104.89794063568115,,38400,,23874199,,128,30522,768,,512,3,CPU only,,,,outputs/results/bert_crossencoder_quantized_results_full.csv,0.872195701105642,0.848132145901302,/Users/hansanghun/workspace/CSE36301_ML_final_total/CSE36301_ML_final/outputs/CSE36301_ML_final/CSE36301_ML_final/outputs/models/bert_crossencoder_int8_full.pt,full_test
