Model,Owner,Role,Official Threshold Type,Best Threshold,Accuracy Threshold,Train Samples,Validation Samples,Test Samples,Test Accuracy,Test F1,Test Precision,Test Recall,Test Log Loss,Training Time sec,Inference Time sec,Inference ms/sample,Model Size MB,Encoder Size MB,Parameter Count,Encoder Parameter Count,State Tensor Count,Memory RSS MB,Max Sequence Length,Vocabulary Size,Embedding Dim,LSTM Units,Batch Size,Epochs Run,GPU,Benchmark Scope
BERT Cross-Encoder,Yuchan,Float BERT Cross-Encoder,validation_f1_best_sampled_500_fair,0.46000000000000024,0.46000000000000024,323432,500,500,0.918,0.8706624605678234,0.8571428571428571,0.8846153846153846,0.2090356474802555,,47.23967579199234,94.47935158398468,417.72944355010986,,109483778,,109483778,,128,30522,768,,32,3,CPU only,sampled_500
BERT Cross-Encoder Int8,Yuchan,Embedding tables and linear layers quantized to int8,validation_f1_best_sampled_500_fair,0.46000000000000024,0.46000000000000024,323432,500,500,0.902,0.855457227138643,0.7923497267759563,0.9294871794871795,0.2457328515312866,,300.2821635410073,600.5643270820146,104.90169620513916,,38400,,23874199,,128,30522,768,,32,3,CPU only,sampled_500
